Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x3837ea26b6417fde1b4e5e104cd786131d0fdae0b3c70ecabe045e0e395a504b","Success","Batch Punish Members","47673112","2026-06-22 13:39:31","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000271"
"0x5bc09a50177e6c7f73baeca27ccb933a75b08a77a34c1abd7890a9cc97a2f01c","Success","Batch Punish Members","47673089","2026-06-22 13:38:45","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000084"
"0x210acb7def9ea9fa3f8b25db0596de7957558caf8e39019a48ca7d51ab8409a0","Success","Vote","47673055","2026-06-22 13:37:37","0x49232fAb34a0448aC710C5FE90C59bDB4Efb00f2","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000115"
"0x33b425dfcee5bf89cedbfd92de91c1d8ea554fb58cdff193a1db3ae4a172da28","Success","Vote","47673048","2026-06-22 13:37:23","0x49232fAb34a0448aC710C5FE90C59bDB4Efb00f2","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.0000028"
"0x5c753ca828aa023aefde52d8e67c628e380b0a700bfdca248f28f8ef5fddeb9a","Success","Vote","47673014","2026-06-22 13:36:15","0x1c7433A4A78e1C5748d01D9429F7b39e9eaDBdd4","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000204"
"0xf911a03462d72f6cb17d4049d8bb2b17aa63ace7ed53e8dcc6f2c75325aee9bd","Success","Vote","47673008","2026-06-22 13:36:03","0x1c7433A4A78e1C5748d01D9429F7b39e9eaDBdd4","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000096"
"0xbc4bfed7332b53801c50b246943b351e1f31a401eb807df104119927779d70e1","Success","Vote","47672990","2026-06-22 13:35:27","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000201"
"0xff6843a227efb522cdfeb21ca91588d5b02411a03170433a839b6ab3a31f648f","Success","Vote","47672981","2026-06-22 13:35:09","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000121"
"0x707af442cdab879d957c205d14fc86fc5b4962dc509c896bfefa58e53ef5ec8c","Success","Create Proposal","47672966","2026-06-22 13:34:39","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000209"
"0xb14928024c29b13715698999176911d77eaa6abc4ea13bfad64423656c7a1cef","Success","Create Proposal","47672947","2026-06-22 13:34:01","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000286"
"0xbe90b1654e2d629ef8f77fc419e20e427f14dd955e0537601afff1021e444d50","Success","Initiate Deal Dispute","47672805","2026-06-22 13:29:17","0x49232fAb34a0448aC710C5FE90C59bDB4Efb00f2","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000114"
"0xa6769493f571184cd1de2327bc09d0d3240247fc150b2656c4c31cec3d65e403","Success","Create Private Deal","47672789","2026-06-22 13:28:45","0x49232fAb34a0448aC710C5FE90C59bDB4Efb00f2","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0.00001 ETH","$0.02","0.00000278"
"0x853095770763a0d0f0a5c793aad85d236c34cc3d16fff91e0e7cd8a7b6feb610","Success","Complete Deal","47672756","2026-06-22 13:27:39","0x49232fAb34a0448aC710C5FE90C59bDB4Efb00f2","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000151"
"0x9c277ac597a49ce157930cdff2433adddcee96dfbd61f1faad67c9e10730e0ac","Success","Create Private Deal","47672650","2026-06-22 13:24:07","0x1c7433A4A78e1C5748d01D9429F7b39e9eaDBdd4","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0.00001 ETH","$0.02","0.00000461"
"0xcc8a4f0f069e991cbd7efa977af58b972ffc45c7ee48e17824f22f295699b684","Success","Complete Deal","47672595","2026-06-22 13:22:17","0x1c7433A4A78e1C5748d01D9429F7b39e9eaDBdd4","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000184"
"0x2e5b396d276d78192d8659c779d8312112ccf4d52067cc980fb15189ba698376","Success","Create Private Deal","47672410","2026-06-22 13:16:07","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0.00001 ETH","$0.02","0.00000596"
"0x427ffaade9aa08fbb5794bea213c224c7b50b8ef1f5856aeccac182129ffef10","Success","Join DAO","47672254","2026-06-22 13:10:55","0x49232fAb34a0448aC710C5FE90C59bDB4Efb00f2","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000336"
"0x279ff0639204f42c7b332e5cd24887ba179327e272e87bf510dc310455035036","Success","Join DAO","47672225","2026-06-22 13:09:57","0x1c7433A4A78e1C5748d01D9429F7b39e9eaDBdd4","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000459"
"0xf152342ea24b80584616d4362bbb5718cfd530d4c6076ddf8b0e6a67b9d387c0","Success","Join DAO","47671935","2026-06-22 13:00:17","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000525"
"0x87c4163dd74384aae88e07d5c56c6e15b4f59326b9a440466d0ec5f081c7f7eb","Success","Simulate DKYC","47671632","2026-06-22 12:50:11","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000115"
"0x0f105830bc4ef0fec099affd7b4f434462f1297b14e6064955c27c8c7749276e","Success","Simulate DKYC","47671622","2026-06-22 12:49:51","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000095"
"0x892000e3bfdea98699bc04fee964cad318faa6b4b21ab76cae4194e350face29","Success","Simulate DKYC","47671611","2026-06-22 12:49:29","0xae8f25fc3c3cA9dcF2d87bd7C1d732420e2DF835","","0x7f09e59FEd0d80be8A093065C60A98B5C6BFd2dD","","0 ETH","$0.00","0.00000074"